Date,Product,ProductClean,VendorFinal,OG/CV,Location,volume_unit
7/3/2025,Acorn,Acorn,Vegfresh,1.0,Nogales,case
7/5/2025,Zucchini,Zucchini,Better Produce Inc,0.0,Santa María,case
7/5/2025,Spaghetti,Spaghetti,Vegfresh,1.0,nogales,case
7/5/2025,Spaghetti,Spaghetti,Vegfresh,1.0,nogales,case
7/5/2025,Butternut,Butternut,Vegfresh,1.0,nogales,case
7/5/2025,Butternut,Butternut,Vegfresh,1.0,nogales,case
7/5/2025,Butternut,Butternut,Vegfresh,1.0,nogales,case
7/5/2025,Beef Steak Tomato,Beef Steak Tomato,TPE,1.0,nogales,pallet
7/5/2025,Acorn,Acorn,Vegfresh,1.0,nogales,case
7/7/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,case
7/7/2025,Zucchini,Zucchini,Better Produce Inc,0.0,Santa María,case
7/7/2025,Zucchini,Zucchini,Better Produce Inc,0.0,Santa Maria,case
7/7/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,case
7/7/2025,Zucchini,Zucchini,Coke Farm,1.0,San Juan Bautista,case
7/7/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,
7/7/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,
7/7/2025,Zucchini,Zucchini,Divine,0.0,San Diego,pallet
7/7/2025,Zucchini,Zucchini,Coke Farm,1.0,San Juan Bautista,case
7/7/2025,Zucchini,Zucchini,Heritage,1.0,Michigan,
7/7/2025,Zucchini,Zucchini,Crown Jewels,0.0,San Diego,
7/7/2025,Yellow Bell 11lb,Yellow Bell 11lb,Red Sun,0.0,Leamington,pallet
7/7/2025,Yellow Bell 11lb,Yellow Bell 11lb,Kingdom,0.0,Texas,case
7/7/2025,Yellow Bell 11lb,Yellow Bell 11lb,Harvest Best LLC,0.0,Texas,case
7/7/2025,Yellow Bell 11lb,Yellow Bell 11lb,Kingdom,0.0,Texas,case
7/7/2025,Yellow Bell 11lb,Yellow Bell 11lb,Harvest Best LLC,0.0,Texas,case
7/7/2025,TOV,TOV,REDSUN,0.0,Texas,case
7/7/2025,Spaghetti,Spaghetti,Vegfresh,1.0,Nogales,case
7/7/2025,Spaghetti,Spaghetti,Vegfresh,1.0,Nogales,case
7/7/2025,Slicer,Slicer,ART MX LLC,0.0,Texas,pallet
7/7/2025,Slicer,Slicer,"Grower Alliance, LLC",0.0,San Diego,pallet
7/7/2025,Slicer,Slicer,ART MX LLC,0.0,Texas,pallet
7/7/2025,Slicer,Slicer,"Grower Alliance, LLC",0.0,San Diego,pallet
7/7/2025,Slicer,Slicer,ART MX LLC,0.0,Texas,pallet
7/7/2025,Slicer,Slicer,ART MX LLC,0.0,Texas,pallet
7/7/2025,Slicer,Slicer,"Grower Alliance, LLC",0.0,San Diego,pallet
7/7/2025,Slicer,Slicer,franks,1.0,San Diego,pallet
7/7/2025,Slicer,Slicer,"Grower Alliance, LLC",0.0,San Diego,pallet
7/7/2025,Round ,Round ,kingdom,0.0,Texas,pallet
7/7/2025,Round ,Round ,kingdom,0.0,Texas,pallet
7/7/2025,Round ,Round ,kingdom,0.0,Texas,pallet
7/7/2025,Round 2L,Round 2L,kingdom,0.0,Texas,pallet
7/7/2025,Round 2L,Round 2L,kingdom,0.0,Texas,pallet
7/7/2025,Roma,Roma,kingdom,0.0,Texas,pallet
7/7/2025,Roma,Roma,kingdom,0.0,Texas,pallet
7/7/2025,Roma,Roma,kingdom,0.0,Texas,pallet
7/7/2025,Roma,Roma,kingdom,0.0,Texas,pallet
7/7/2025,Red Bell 11lb,Red Bell 11lb,Red Sun,0.0,Leamington,pallet
7/7/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,Texas,case
7/7/2025,Red Bell 11lb,Red Bell 11lb,Harvest Best LLC,0.0,Texas,case
7/7/2025,Red Bell 11lb,Red Bell 11lb,Nature Fresh,1.0,Leamington,pallet
